Date,Fuel,Tokyo
2001/1/1,1083,109
2001/2/1,1039,109
2001/3/1,1060,109
2001/4/1,929,108
2001/5/1,903,108
2001/6/1,884,107
2001/7/1,915,107
2001/8/1,905,107
2001/9/1,851,107
2001/10/1,864,107
2001/11/1,943,106
2001/12/1,1114,105
2002/1/1,969,105
2002/2/1,915,104
2002/3/1,942,104
2002/4/1,877,104
2002/5/1,878,106
2002/6/1,850,106
2002/7/1,915,106
2002/8/1,913,105
2002/9/1,837,105
2002/10/1,865,105
2002/11/1,944,105
2002/12/1,1071,105
2003/1/1,916,105
2003/2/1,931,105
2003/3/1,990,108
2003/4/1,899,109
2003/5/1,881,110
2003/6/1,843,108
2003/7/1,873,106
2003/8/1,904,106
2003/9/1,845,106
2003/10/1,869,106
2003/11/1,899,106
2003/12/1,1059,105
2004/1/1,953,105
2004/2/1,926,105
2004/3/1,985,106
2004/4/1,906,108
2004/5/1,883,108
2004/6/1,864,114
2004/7/1,982,115
2004/8/1,950,115
2004/9/1,917,119
2004/10/1,980,120
2004/11/1,1020,121
2004/12/1,1214,119
2005/1/1,1107,118
2005/2/1,1052,116
2005/3/1,1116,117
2005/4/1,1041,123
2005/5/1,983,125
2005/6/1,964,122
2005/7/1,1008,124
2005/8/1,1051,128
2005/9/1,969,130
2005/10/1,1004,131
2005/11/1,1071,130
2005/12/1,1293,128
2006/1/1,1192,128
2006/2/1,1124,129
2006/3/1,1192,130
2006/4/1,1071,130
2006/5/1,1014,136
2006/6/1,964,135
2006/7/1,1047,137
2006/8/1,1094,144
2006/9/1,1017,144
2006/10/1,1034,141
2006/11/1,1084,135
2006/12/1,1236,133
2007/1/1,1089,131
2007/2/1,1020,127
2007/3/1,1102,127
2007/4/1,1023,129
2007/5/1,979,135
2007/6/1,958,139
2007/7/1,1021,141
2007/8/1,1092,145
2007/9/1,1010,143
2007/10/1,1044,145
2007/11/1,1100,150
2007/12/1,1259,156
2008/1/1,1144,154
2008/2/1,1169,152
2008/3/1,1147,153
2008/4/1,1058,132
2008/5/1,990,160
2008/6/1,985,172
2008/7/1,1060,181
2008/8/1,1059,182
2008/9/1,1016,173
2008/10/1,986,158
2008/11/1,1019,132
2008/12/1,1104,117
2009/1/1,962,106
2009/2/1,895,111
2009/3/1,960,112
2009/4/1,877,116
2009/5/1,864,116
2009/6/1,935,121
2009/7/1,983,126
2009/8/1,968,127
2009/9/1,914,131
2009/10/1,951,128
2009/11/1,996,126
2009/12/1,1205,125
2010/1/1,1070,125
2010/2/1,1079,128
2010/3/1,1148,130
2010/4/1,1079,133
2010/5/1,1027,137
2010/6/1,1011,136
2010/7/1,1067,133
2010/8/1,1079,132
2010/9/1,989,132
2010/10/1,1001,132
2010/11/1,1083,131
2010/12/1,1265,131
2011/1/1,1202,135
2011/2/1,1161,136
2011/3/1,1215,147
2011/4/1,1094,151
2011/5/1,1046,151
2011/6/1,1037,146
2011/7/1,1088,147
2011/8/1,1115,150
2011/9/1,1014,144
2011/10/1,1039,141
2011/11/1,1097,141
2011/12/1,1339,143
2012/1/1,1195,141
2012/2/1,1221,142
2012/3/1,1290,155
2012/4/1,1177,156
2012/5/1,1072,151
2012/6/1,975,140
2012/7/1,1013,139
2012/8/1,1060,143
2012/9/1,1016,147
2012/10/1,1049,146
2012/11/1,1117,144
2012/12/1,1365,146
2013/1/1,1250,146
2013/2/1,1246,152
2013/3/1,1294,153
2013/4/1,1157,153
2013/5/1,1107,150
2013/6/1,1026,150
2013/7/1,1093,153
2013/8/1,1123,158
2013/9/1,1060,159
2013/10/1,1095,154
2013/11/1,1185,154
2013/12/1,1377,154
2014/1/1,1284,157
2014/2/1,1253,156
2014/3/1,1363,159
2014/4/1,1099,163
2014/5/1,1095,165
2014/6/1,1054,166
2014/7/1,1107,168
2014/8/1,1107,166
2014/9/1,1065,166
2014/10/1,1083,163
2014/11/1,1122,157
2014/12/1,1313,149
2015/1/1,1083,137
2015/2/1,1028,132
2015/3/1,1092,138
2015/4/1,999,137
2015/5/1,963,139
2015/6/1,944,144
2015/7/1,1007,142
2015/8/1,987,137
2015/9/1,898,133
2015/10/1,941,131
2015/11/1,961,128
2015/12/1,1096,123
